side,region,filter_height_px,extra_blur_sigma,pixels,mean_L,dark_line_mean_L,relative_line_mean,relative_line_p90,area_above_1pct
before,full,3,0.0,5442,78.99674987792969,0.17451108992099762,0.21795037388801575,0.6883746385574341,6.909224549797869
after,full,3,0.0,5442,81.67279815673828,0.22444607317447662,0.27411088347435,1.1741228103637695,11.300992282249172
before,full,3,0.7,5442,78.99674987792969,0.09012783318758011,0.11267019063234329,0.38970357179641724,3.491363469312753
after,full,3,0.7,5442,81.67279815673828,0.11095117032527924,0.13565823435783386,0.5799417495727539,5.016538037486218
before,full,5,0.0,5442,78.99674987792969,0.35305801033973694,0.4430125951766968,1.5718902349472046,15.380374862183022
after,full,5,0.0,5442,81.67279815673828,0.4261605143547058,0.5227957963943481,1.9796786308288574,19.110621095185593
before,full,5,0.7,5442,78.99674987792969,0.20380516350269318,0.25623226165771484,0.9714758396148682,9.830944505696435
after,full,5,0.7,5442,81.67279815673828,0.24908709526062012,0.30630335211753845,1.1022098064422607,11.484748254318266
before,full,7,0.0,5442,78.99674987792969,0.43439266085624695,0.5458410978317261,1.888978362083435,19.69864020580669
after,full,7,0.0,5442,81.67279815673828,0.5435791015625,0.6666911840438843,2.3206236362457275,24.45791988239618
before,full,7,0.7,5442,78.99674987792969,0.26549234986305237,0.3344293236732483,1.2465205192565918,12.881293642043367
after,full,7,0.7,5442,81.67279815673828,0.32552018761634827,0.3997794985771179,1.4665544033050537,15.361999264976111
before,inset_2px,3,0.0,4664,79.1723403930664,0.17384116351604462,0.2174186259508133,0.7016703486442566,7.182675814751287
after,inset_2px,3,0.0,4664,81.8187026977539,0.24213992059230804,0.2955333888530731,1.290572166442871,12.24271012006861
before,inset_2px,3,0.7,4664,79.1723403930664,0.09080521762371063,0.11363489925861359,0.3928667902946472,3.5377358490566038
after,inset_2px,3,0.7,4664,81.8187026977539,0.12067116051912308,0.14743919670581818,0.6590467095375061,5.4459691252144085
before,inset_2px,5,0.0,4664,79.1723403930664,0.35908788442611694,0.4505044221878052,1.589116096496582,15.887650085763294
after,inset_2px,5,0.0,4664,81.8187026977539,0.4546961486339569,0.5571387410163879,2.088712692260742,20.240137221269297
before,inset_2px,5,0.7,4664,79.1723403930664,0.20630298554897308,0.2592126131057739,0.9665536284446716,9.712692967409948
after,inset_2px,5,0.7,4664,81.8187026977539,0.2609266936779022,0.32048410177230835,1.1348828077316284,11.94253859348199
before,inset_2px,7,0.0,4664,79.1723403930664,0.44134363532066345,0.5545560121536255,1.89156973361969,20.433104631217837
after,inset_2px,7,0.0,4664,81.8187026977539,0.5656076669692993,0.6936467289924622,2.3443520069122314,25.321612349914236
before,inset_2px,7,0.7,4664,79.1723403930664,0.26784518361091614,0.3372603952884674,1.2372676134109497,12.9073756432247
after,inset_2px,7,0.7,4664,81.8187026977539,0.33338233828544617,0.4093868136405945,1.4668010473251343,15.716123499142368
before,screen_left,3,0.0,1658,76.00203704833984,0.11372047662734985,0.15106701850891113,0.5507355332374573,4.161640530759952
after,screen_left,3,0.0,1658,79.06436920166016,0.21596673130989075,0.2772701680660248,1.2902532815933228,12.78648974668275
before,screen_left,3,0.7,1658,76.00203704833984,0.06527702510356903,0.0864645391702652,0.34214115142822266,1.5078407720144753
after,screen_left,3,0.7,1658,79.06436920166016,0.11291952431201935,0.14479036629199982,0.6935468912124634,6.272617611580217
before,screen_left,5,0.0,1658,76.00203704833984,0.2969103157520294,0.3940504789352417,1.3335981369018555,14.77683956574186
after,screen_left,5,0.0,1658,79.06436920166016,0.4394837021827698,0.5671190619468689,2.0715060234069824,21.592279855247288
before,screen_left,5,0.7,1658,76.00203704833984,0.1853894144296646,0.24650852382183075,0.9197213649749756,9.047044632086852
after,screen_left,5,0.7,1658,79.06436920166016,0.270489364862442,0.350119411945343,1.1788157224655151,14.414957780458385
before,screen_left,7,0.0,1658,76.00203704833984,0.3841283321380615,0.5097696781158447,1.786501169204712,19.96381182147165
after,screen_left,7,0.0,1658,79.06436920166016,0.5422609448432922,0.701309859752655,2.4219064712524414,27.92521109770808
before,screen_left,7,0.7,1658,76.00203704833984,0.26025208830833435,0.34570619463920593,1.2145099639892578,12.967430639324487
after,screen_left,7,0.7,1658,79.06436920166016,0.3331708610057831,0.43151789903640747,1.4911059141159058,18.516284680337755
before,center,3,0.0,2110,79.0260238647461,0.06647694110870361,0.08340952545404434,0.23031207919120789,2.037914691943128
after,center,3,0.0,2110,81.63066864013672,0.10004952549934387,0.12112342566251755,0.308398574590683,4.407582938388625
before,center,3,0.7,2110,79.0260238647461,0.03911799192428589,0.04908166825771332,0.12376505881547928,0.6161137440758294
after,center,3,0.7,2110,81.63066864013672,0.058376412838697433,0.07064756006002426,0.12224151194095612,2.3696682464454977
before,center,5,0.0,2110,79.0260238647461,0.16914720833301544,0.21201413869857788,0.7072292566299438,7.772511848341232
after,center,5,0.0,2110,81.63066864013672,0.26140791177749634,0.3165442645549774,1.0168724060058594,10.23696682464455
before,center,5,0.7,2110,79.0260238647461,0.09828080981969833,0.12316489219665527,0.4038676917552948,4.218009478672986
after,center,5,0.7,2110,81.63066864013672,0.15841564536094666,0.19180075824260712,0.5683296918869019,5.592417061611375
before,center,7,0.0,2110,79.0260238647461,0.20769913494586945,0.2604789733886719,0.9720052480697632,9.194312796208532
after,center,7,0.0,2110,81.63066864013672,0.32223746180534363,0.390712171792984,1.3200514316558838,13.317535545023695
before,center,7,0.7,2110,79.0260238647461,0.12470636516809464,0.1564130187034607,0.5111224055290222,5.165876777251185
after,center,7,0.7,2110,81.63066864013672,0.19984035193920135,0.24242042005062103,0.8552801012992859,6.919431279620854
before,screen_right,3,0.0,1674,81.92594146728516,0.37089279294013977,0.4537769854068756,1.7151544094085693,15.770609318996415
after,screen_right,3,0.0,1674,84.30939483642578,0.3896404802799225,0.4638153314590454,1.737131953239441,18.51851851851852
before,screen_right,3,0.7,1674,81.92594146728516,0.1790366917848587,0.21877580881118774,0.9025053381919861,9.08004778972521
after,screen_right,3,0.7,1674,84.30939483642578,0.17526966333389282,0.2085563689470291,0.8563541173934937,7.1087216248506575
before,screen_right,5,0.0,1674,81.92594146728516,0.6404801607131958,0.7826696038246155,3.051830291748047,25.567502986857825
after,screen_right,5,0.0,1674,84.30939483642578,0.620627760887146,0.7388666868209839,2.2976937294006348,27.837514934289125
before,screen_right,5,0.7,1674,81.92594146728516,0.3550534248352051,0.4335883557796478,1.5673896074295044,17.682198327359618
after,screen_right,5,0.7,1674,84.30939483642578,0.3421766459941864,0.40723130106925964,1.4467929601669312,16.009557945041816
before,screen_right,7,0.0,1674,81.92594146728516,0.769913375377655,0.9412535429000854,3.2203080654144287,32.676224611708484
after,screen_right,7,0.0,1674,84.30939483642578,0.8238756060600281,0.9802621006965637,2.9491896629333496,35.065710872162484
before,screen_right,7,0.7,1674,81.92594146728516,0.4481368660926819,0.5476415157318115,1.7894432544708252,22.520908004778974
after,screen_right,7,0.7,1674,84.30939483642578,0.47635626792907715,0.5666883587837219,1.7292015552520752,22.879330943847073
