side,metric,before,after,delta,forehead_before,forehead_after,forehead_delta,delta_minus_forehead,correction_status
left_cheek,L_mean,60.13559341430664,61.80091857910156,1.6653251647949219,80.14002227783203,82.95899963378906,2.8189773559570312,-1.1536521911621094,unvalidated_forehead_control
left_cheek,L_median,58.82353210449219,60.0,1.1764678955078125,80.0,82.74510192871094,2.7451019287109375,-1.568634033203125,unvalidated_forehead_control
left_cheek,a_mean,17.597332000732422,17.87452507019043,0.2771930694580078,9.14143180847168,9.40651798248291,0.26508617401123047,0.012106895446777344,unvalidated_forehead_control
left_cheek,a_median,18.0,18.0,0.0,9.0,9.0,0.0,0.0,unvalidated_forehead_control
left_cheek,b_mean,15.928668975830078,16.6075496673584,0.6788806915283203,13.637310028076172,16.23198890686035,2.5946788787841797,-1.9157981872558594,unvalidated_forehead_control
left_cheek,b_median,16.0,17.0,1.0,14.0,16.0,2.0,-1.0,unvalidated_forehead_control
right_cheek,L_mean,82.06861877441406,83.15922546386719,1.090606689453125,80.14002227783203,82.95899963378906,2.8189773559570312,-1.7283706665039062,unvalidated_forehead_control
right_cheek,L_median,81.96078491210938,83.13725280761719,1.1764678955078125,80.0,82.74510192871094,2.7451019287109375,-1.568634033203125,unvalidated_forehead_control
right_cheek,a_mean,10.688082695007324,12.972298622131348,2.2842159271240234,9.14143180847168,9.40651798248291,0.26508617401123047,2.019129753112793,unvalidated_forehead_control
right_cheek,a_median,11.0,13.0,2.0,9.0,9.0,0.0,2.0,unvalidated_forehead_control
right_cheek,b_mean,10.54159927368164,12.674277305603027,2.1326780319213867,13.637310028076172,16.23198890686035,2.5946788787841797,-0.46200084686279297,unvalidated_forehead_control
right_cheek,b_median,10.0,13.0,3.0,14.0,16.0,2.0,1.0,unvalidated_forehead_control
