side,metric,before,after,delta,forehead_before,forehead_after,forehead_delta,delta_minus_forehead,correction_status
left_cheek,L_mean,73.10198211669922,69.79944610595703,-3.3025360107421875,84.23403930664062,81.2915267944336,-2.9425125122070312,-0.36002349853515625,unvalidated_forehead_control
left_cheek,L_median,74.11764526367188,69.80392456054688,-4.313720703125,84.70588684082031,81.17647552490234,-3.5294113159179688,-0.7843093872070312,unvalidated_forehead_control
left_cheek,a_mean,14.141093254089355,16.547283172607422,2.4061899185180664,10.664383888244629,10.731411933898926,0.06702804565429688,2.3391618728637695,unvalidated_forehead_control
left_cheek,a_median,14.0,16.0,2.0,11.0,11.0,0.0,2.0,unvalidated_forehead_control
left_cheek,b_mean,16.791006088256836,14.909782409667969,-1.8812236785888672,8.401826858520508,10.058789253234863,1.6569623947143555,-3.5381860733032227,unvalidated_forehead_control
left_cheek,b_median,17.0,15.0,-2.0,9.0,10.0,1.0,-3.0,unvalidated_forehead_control
right_cheek,L_mean,72.42933654785156,70.08057403564453,-2.3487625122070312,84.23403930664062,81.2915267944336,-2.9425125122070312,0.59375,unvalidated_forehead_control
right_cheek,L_median,73.33333587646484,70.5882339477539,-2.7451019287109375,84.70588684082031,81.17647552490234,-3.5294113159179688,0.7843093872070312,unvalidated_forehead_control
right_cheek,a_mean,14.370346069335938,16.454870223999023,2.084524154663086,10.664383888244629,10.731411933898926,0.06702804565429688,2.017496109008789,unvalidated_forehead_control
right_cheek,a_median,15.0,17.0,2.0,11.0,11.0,0.0,2.0,unvalidated_forehead_control
right_cheek,b_mean,17.34375,13.571258544921875,-3.772491455078125,8.401826858520508,10.058789253234863,1.6569623947143555,-5.4294538497924805,unvalidated_forehead_control
right_cheek,b_median,17.0,14.0,-3.0,9.0,10.0,1.0,-4.0,unvalidated_forehead_control
